SAMPID  ,   SMATSSCR  ,  SMCENTER  ,  SMPTHNTS  ,  SMRIN
GTEX-NPJ8-0011-R4a-SM-2HML3  ,   D1,  ,  A1  ,  6.5  ,  Brain
GTEX-NPJ8-0011-R5a-SM-2AXW3  ,   D1,  ,  A1  ,  7.3  ,  Brain
GTEX-NPJ8-0011-R5a-SM-2HMJY  ,   D1,  ,  A1  ,  7.3  ,  Brain
GTEX-NPJ8-0011-R6a-SM-2AXVV  ,   D1,  ,  A1  ,  7.8  ,  Brain
GTEX-NPJ8-0011-R6a-SM-2HMKB  ,   D1,  ,  A1  ,  7.8  ,  Brain
GTEX-NPJ8-0011-R7a-SM-2AXVP  ,   D1,  ,  A1  ,  6.1  ,  Brain
GTEX-NPJ8-0011-R7a-SM-2HMJV  ,   D1,  ,  A1  ,  6.1  ,  Brain
GTEX-NPJ8-0011-R8a-SM-2AXVK  ,   D1,  ,  A1  ,  7.9  ,  Brain
GTEX-NPJ8-0011-R8a-SM-2HMLG  ,   D1,  ,  A1  ,  7.9  ,  Brain
GTEX-NPJ8-0011-R9a-SM-2QU2O  ,   D1,  ,  A1  ,  7.5  ,  Brain
GTEX-NPJ8-0011-R9a-SM-2YUN5  ,   D1,  ,  A1  ,  7.5  ,  Brain
GTEX-NPJ8-0126-SM-2QU56  ,   0  ,  D1  ,  Epidermis  ,  is
GTEX-NPJ8-0126-SM-2YUNR  ,   0  ,  D1  ,  Epidermis  ,  is
GTEX-NPJ8-0326-SM-26GMG  ,   1  ,  D1  ,  Mild  ,  congestion
GTEX-NPJ8-0326-SM-26GMX  ,   1  ,  D1  ,  Mild  ,  congestion
GTEX-NPJ8-0326-SM-2D43G  ,   1  ,  D1  ,  Mild  ,  congestion
GTEX-NPJ8-0326-SM-2D7VV  ,   1  ,  D1  ,  Mild  ,  congestion
GTEX-NPJ8-0426-SM-2AXU1  ,   1  ,  D1  ,  minimal  ,  interstitial
GTEX-NPJ8-0426-SM-2HMK6  ,   1  ,  D1  ,  minimal  ,  interstitial
GTEX-NPJ8-0526-SM-3MJHN  ,   0  ,  D1  ,  Vessel  ,  wall
GTEX-NPJ8-1226-SM-3MJHM  ,   0  ,  D1  ,  Complete  ,  seminiferous
GTEX-NPJ8-1326-SM-2AXTY  ,   1  ,  D1  ,  50%  ,  occlusive
GTEX-NPJ8-1326-SM-3LK6B  ,   1  ,  D1  ,  50%  ,  occlusive
GTEX-NPJ8-1426-SM-3MJHR  ,   1  ,  D1  ,  Reasonably  ,  well-preserved
GTEX-NPJ8-1526-SM-26GMH  ,   0  ,  D1  ,  Well  ,  preserved
GTEX-NPJ8-1526-SM-26GMY  ,   0  ,  D1  ,  Well  ,  preserved
GTEX-NPJ8-1526-SM-2D43H  ,   0  ,  D1  ,  Well  ,  preserved
GTEX-NPJ8-1526-SM-2D7VU  ,   0  ,  D1  ,  Well  ,  preserved
GTEX-NPJ8-1626-SM-2AXTZ  ,   0  ,  D1  ,  ~85%  ,  muscle,
GTEX-NPJ8-1626-SM-2HMIY  ,   0  ,  D1  ,  ~85%  ,  muscle,
GTEX-NPJ8-1726-SM-2QU3J  ,   0  ,  D1  ,  Nerve  ,  is
GTEX-NPJ8-1726-SM-2YUNB  ,   0  ,  D1  ,  Nerve  ,  is
GTEX-NPJ8-1826-SM-2QU3L  ,   0  ,  D1  ,  Good  ,  clean
GTEX-NPJ8-1826-SM-2YUNC  ,   0  ,  D1  ,  Good  ,  clean
GTEX-NPJ8-1926-SM-3MJGB  ,   0  ,  D1  ,  Epithelium  ,  is
GTEX-NPJ8-2026-SM-3TW91  ,   0  ,  D1  ,  6  ,  pieces,
GTEX-NPJ8-2126-SM-3MJGK  ,   1  ,  D1  ,  reasonably  ,  good
GTEX-NPJ8-2226-SM-3TW8D  ,   1  ,  D1  ,  Glomeruli  ,  appear
GTEX-NPJ8-2426-SM-3MJHL  ,   2  ,  D1  ,  Glands  ,  poorly
GTEX-NPJ8-2526-SM-2AXTX  ,   0  ,  D1  ,  2x1.3mm  ,  perithyroidal
GTEX-NPJ8-2526-SM-2HML8  ,   0  ,  D1  ,  2x1.3mm  ,  perithyroidal
GTEX-NPJ8-2626-SM-26GMI  ,   1  ,  D1  ,  Reasonably  ,  well-preserved
GTEX-NPJ8-2626-SM-26GMZ  ,   1  ,  D1  ,  Reasonably  ,  well-preserved
GTEX-NPJ8-2626-SM-2D43I  ,   1  ,  D1  ,  Reasonably  ,  well-preserved
GTEX-NPJ8-2626-SM-2D7W2  ,   1  ,  D1  ,  Reasonably  ,  well-preserved
GTEX-O5YT-0007-SM-32PK7  ,   B1  ,  7.8  ,  Blood  ,  Whole
GTEX-O5YT-0010-SM-325AG  ,   B1  ,  Blood  ,  Whole  ,  Blood
GTEX-O5YT-0010-SM-325HV  ,   B1  ,  Blood  ,  Whole  ,  Blood
GTEX-O5YT-0226-SM-32PK5  ,   0  ,  B1  ,  (80%  ,  centrally
GTEX-O5YT-0326-SM-32PKA  ,   0  ,  B1  ,  1  ,  piece
GTEX-O5YT-0426-SM-3MJHD  ,   0  ,  B1  ,  3  ,  pieces
GTEX-O5YT-0526-SM-32PK8  ,   1  ,  B1  ,  (large  ,  unfixed
GTEX-O5YT-0726-SM-3MJHA  ,   0  ,  B1  ,  3  ,  pieces
GTEX-O5YT-0826-SM-3TW8N  ,   0  ,  B1  ,  Mild  ,  central
GTEX-O5YT-1026-SM-3MJGF  ,   0  ,  B1  ,  large  ,  aliquot
